raan                      ta                        type                      rmag                      dv                   
40                        60                        1                         0                         0.84158935546875          
40                        70                        0                         0                         0                         
40                        80                        0                         0                         0                         
40                        90                        0                         0                         0                         
40                        100                       0                         0                         0                         
40                        110                       0                         0                         0                         
40                        120                       0                         0                         0                         
40                        130                       0                         0                         0                         
40                        140                       0                         0                         0                         
40                        150                       0                         0                         0                         
40                        160                       0                         0                         0                         
40                        170                       0                         0                         0                         
40                        180                       0                         0                         0                         
40                        190                       0                         0                         0                         
40                        200                       0                         0                         0                         
40                        210                       0                         0                         0                         
40                        220                       1                         0                         0.8703460693359376        
40                        230                       1                         0                         0.8401245117187501        
40                        240                       1                         0                         0.8148834228515625        
40                        250                       1                         0                         0.7940277099609375        
40                        260                       1                         0                         0.7769165039062499        
40                        270                       1                         0                         0.7629455566406251        
40                        280                       1                         0                         0.7515655517578125        
40                        290                       1                         0                         0.7423370361328124        
40                        300                       1                         0                         0.7349395751953124        
40                        310                       1                         0                         0.7291717529296875        
40                        320                       1                         0                         0.7248687744140626        
40                        330                       1                         0                         0.7219390869140626        
40                        340                       1                         0                         0.7203277587890625        
40                        350                       1                         0                         0.7200256347656251        
40                        360                       1                         0                         0.7210784912109375        
50                        0                         1                         0                         0.7066680908203125        
50                        10                        1                         0                         0.7088470458984375        
50                        20                        1                         0                         0.7131683349609376        
50                        30                        1                         0                         0.721142578125            
50                        40                        1                         0                         0.7366790771484374        
50                        50                        1                         0                         0.7719268798828125        
50                        60                        1                         0                         0.8692382812500001        
50                        70                        0                         0                         0                         
50                        80                        0                         0                         0                         
50                        90                        0                         0                         0                         
50                        100                       0                         0                         0                         
50                        110                       0                         0                         0                         
50                        120                       0                         0                         0                         
50                        130                       0                         0                         0                         
50                        140                       0                         0                         0                         
50                        150                       0                         0                         0                         
50                        160                       0                         0                         0                         
50                        170                       0                         0                         0                         
50                        180                       0                         0                         0                         
50                        190                       0                         0                         0                         
50                        200                       0                         0                         0                         
50                        210                       0                         0                         0                         
50                        220                       1                         0                         0.8757568359375001        
50                        230                       1                         0                         0.8399780273437502        
